;y;Ra;Rq;Rz;Rmax;Rsm;Rsk;Rku;WDt;WDsm;WDc
0;6615,000;7,390;10,437;92,436;92,436;889,585;1,640;8,404;288,649;11897,969;288,649
0;6660,000;6,906;9,792;86,423;86,423;647,847;1,982;10,674;289,262;0,000;289,262
0;6705,000;7,031;9,956;81,987;81,987;678,245;1,817;8,322;270,558;0,000;270,558
0;6750,000;7,890;11,370;94,269;94,269;670,214;1,563;7,917;270,147;14422,998;270,147
0;6795,000;7,414;11,214;112,015;112,015;954,944;2,166;13,245;293,738;0,000;293,738
0;6840,000;7,408;11,269;127,318;127,318;1215,981;2,809;20,783;278,572;0,000;278,572
0;6885,000;8,038;12,148;140,764;140,764;2048,183;3,870;29,983;276,582;0,000;276,582
0;6930,000;7,602;12,165;158,876;158,876;2703,694;2,592;20,734;278,033;0,000;278,033
0;6975,000;7,290;10,855;115,224;115,224;1975,229;2,862;16,451;276,210;0,000;276,210
0;7020,000;7,237;10,516;99,668;99,668;1311,258;2,856;15,571;275,309;0,000;275,309
0;7065,000;8,121;14,669;239,162;239,162;4012,736;3,027;38,322;330,559;0,000;330,559
0;7110,000;8,934;14,408;170,478;170,478;2717,384;1,756;13,242;407,281;0,000;407,281
0;7155,000;6,727;10,729;135,299;135,299;2413,188;-0,060;16,951;365,669;11901,308;365,669
0;7200,000;7,962;11,603;104,668;104,668;702,853;1,770;10,554;352,271;0,000;352,271
0;7245,000;7,706;11,923;143,451;143,451;2639,784;2,961;20,055;331,073;0,000;331,073
0;7290,000;6,601;10,981;122,233;122,233;1961,320;3,869;28,497;377,752;0,000;377,752
0;7335,000;7,742;14,573;218,249;218,249;1878,679;6,496;71,799;438,783;0,000;438,783
0;7380,000;7,586;16,142;256,802;256,802;7681,311;6,912;79,381;507,491;0,000;507,491
0;7425,000;8,696;16,852;250,102;250,102;1716,722;5,803;58,614;519,984;0,000;519,984
0;7470,000;7,255;15,624;259,582;259,582;0,000;7,414;90,936;458,779;0,000;458,779
0;7515,000;7,085;13,218;193,362;193,362;4815,304;5,459;57,245;426,460;0,000;426,460
0;7560,000;7,136;13,470;196,890;196,890;6713,024;6,116;65,060;446,516;0,000;446,516
0;7605,000;7,667;13,960;215,196;215,196;7796,182;6,189;72,866;445,972;0,000;445,972
0;7650,000;8,104;15,607;239,975;239,975;15078,097;5,832;63,201;450,209;12237,041;450,209
0;7695,000;7,718;15,169;227,585;227,585;6705,331;6,367;66,108;453,166;0,000;453,166
0;7740,000;8,202;16,988;288,431;288,431;7632,926;8,190;106,701;467,186;0,000;467,186
0;7785,000;8,084;15,650;242,991;242,991;15580,156;5,783;64,737;451,562;11921,667;451,562
0;7830,000;8,595;15,335;198,898;198,898;6653,066;4,403;41,304;469,474;0,000;469,474
0;7875,000;8,378;15,295;212,252;212,252;5162,135;5,118;50,444;457,552;11912,524;457,552
