;y;Ra;Rq;Rz;Rmax;Rsm;Rsk;Rku;WDt;WDsm;WDc
0;7740,000;15,851;24,268;123,125;192,819;1108,149;0,519;6,509;782,807;0,000;782,807
0;7785,000;16,754;28,379;157,332;229,673;1244,852;0,329;10,493;798,038;0,000;798,038
0;7830,000;14,515;22,659;129,327;192,579;940,076;0,119;8,983;851,036;0,000;851,036
0;7875,000;16,461;25,038;119,495;239,271;823,217;0,514;9,126;860,887;0,000;860,887
0;7920,000;19,351;32,294;175,690;335,806;933,541;-0,005;12,257;811,632;0,000;811,632
0;7965,000;19,035;31,465;156,706;283,959;1127,549;-0,331;10,336;845,867;2013,264;845,867
0;8010,000;19,204;32,529;159,981;387,919;922,159;-0,942;16,190;858,519;1898,915;858,519
0;8055,000;19,680;34,570;162,064;410,660;909,949;0,066;15,451;859,169;0,000;859,169
0;8100,000;16,237;27,347;130,717;341,289;764,712;0,157;16,584;389,824;1664,227;389,824
0;8145,000;18,157;31,435;134,796;358,897;748,032;0,099;15,621;393,679;2008,653;393,679
0;8190,000;19,004;32,692;146,791;334,947;1021,822;1,064;12,467;396,812;2040,493;396,812
0;8235,000;17,825;27,283;134,114;224,270;676,718;1,063;8,623;373,998;1866,609;373,998
0;8280,000;15,077;21,947;118,685;210,032;716,184;0,275;8,021;366,528;1881,315;366,528
0;8325,000;14,653;20,158;109,039;158,915;626,538;0,197;5,330;362,487;1590,398;362,487
0;8370,000;16,977;24,284;112,950;194,626;696,732;-0,335;6,103;410,070;1436,007;410,070
0;8415,000;19,282;27,568;124,907;201,560;664,595;-0,056;5,304;459,760;0,000;459,760
0;8460,000;18,410;26,115;120,130;197,238;672,144;0,177;5,350;514,771;0,000;514,771
0;8505,000;17,188;25,053;134,190;212,068;675,623;0,840;7,898;553,485;0,000;553,485
0;8550,000;16,923;25,993;152,873;267,913;711,601;1,272;12,116;585,507;0,000;585,507
0;8595,000;15,018;22,267;108,994;207,286;733,954;-0,580;8,428;616,188;0,000;616,188
0;8640,000;16,411;26,474;106,472;261,542;639,890;0,586;11,169;622,548;0,000;622,548
0;8685,000;13,845;20,587;98,783;221,998;702,129;0,925;10,417;330,279;0,000;330,279
0;8730,000;13,320;18,318;85,887;130,368;610,086;0,180;4,711;343,013;0,000;343,013
0;8775,000;12,996;19,002;93,033;185,007;623,663;0,690;8,589;349,867;0,000;349,867
0;8820,000;12,189;17,907;95,090;193,386;628,961;0,968;10,482;336,474;0,000;336,474
0;8865,000;11,079;14,895;68,777;117,636;538,974;0,686;6,086;337,771;0,000;337,771
0;8910,000;9,624;13,119;68,357;106,535;695,356;0,651;6,529;350,660;0,000;350,660
0;8955,000;10,188;13,537;66,137;86,885;630,786;0,601;4,481;353,154;0,000;353,154
